"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"123","tt0077990","Sun Jan 15 18:31:03 2012","Sun Jan 15 18:31:03 2012","","Night Cries","TV Movie","Richard Lang","6.9","100","1978","drama, horror","50","1978-01-29","http://www.imdb.com/title/tt0077990/"
"124","tt0077400","Sun Jan 15 18:31:16 2012","Sun Jan 15 18:31:16 2012","","The Darker Side of Terror","TV Movie","Gus Trikonis","5.1","96","1979","drama, horror, sci_fi, romance","87","1979-04-03","http://www.imdb.com/title/tt0077400/"
"125","tt0077382","Sun Jan 15 18:31:35 2012","Sun Jan 15 18:31:35 2012","","Cruise Into Terror","TV Movie","Bruce Kessler","5.5","100","1978","thriller, horror","151","1978-02-03","http://www.imdb.com/title/tt0077382/"
"126","tt0082616","Sun Jan 15 18:31:48 2012","Sun Jan 15 18:31:48 2012","","Killjoy","TV Movie","John Llewellyn Moxey","6.9","96","1981","mystery, thriller","244","1981-10-22","http://www.imdb.com/title/tt0082616/"
"127","tt0071186","Sun Jan 15 18:31:59 2012","Sun Jan 15 18:31:59 2012","","Bad Ronald","TV Movie","Buzz Kulik","7.0","74","1974","drama, horror, thriller","1337","1974-10-23","http://www.imdb.com/title/tt0071186/"
"128","tt0085422","Sun Jan 15 18:32:18 2012","Sun Jan 15 18:32:18 2012","","The Demon Murder Case","TV Movie","William Hale","5.3","97","1983","horror, thriller","114","1983-03-06","http://www.imdb.com/title/tt0085422/"
"129","tt0079223","Sun Jan 15 18:32:33 2012","Sun Jan 15 18:32:33 2012","","The Golden Gate Murders","TV Movie","Walter Grauman","7.1","104","1979","mystery, thriller","96","1979-10-03","http://www.imdb.com/title/tt0079223/"
"130","tt0073676","Sun Jan 15 18:32:47 2012","Sun Jan 15 18:32:47 2012","","The Secret Night Caller","TV Movie","Jerry Jameson","7.7","74","1975","drama","26","1975-02-18","http://www.imdb.com/title/tt0073676/"
"131","tt0066552","Sun Jan 15 18:33:00 2012","Sun Jan 15 18:33:00 2012","","Weekend of Terror","TV Movie","Jud Taylor","6.6","74","1970","thriller","120","1970-12-08","http://www.imdb.com/title/tt0066552/"
"132","tt0070683","Sun Jan 15 18:33:11 2012","Sun Jan 15 18:33:11 2012","","She Lives!","TV Movie","Stuart Hagmann","7.7","74","1973","drama","78","1973-09-12","http://www.imdb.com/title/tt0070683/"
"133","tt0071878","Sun Jan 15 18:33:25 2012","Sun Jan 15 18:33:25 2012","","Murder or Mercy","TV Movie","Harvey Hart","6.7","73","1974","drama","11","1974-04-10","http://www.imdb.com/title/tt0071878/"
"134","tt0066269","Sun Jan 15 18:33:39 2012","Sun Jan 15 18:33:39 2012","","Quarantined","TV Movie","Leo Penn","7.4","74","1970","drama","18","1970-02-24","http://www.imdb.com/title/tt0066269/"
"135","tt0073819","Sun Jan 15 18:34:00 2012","Sun Jan 15 18:34:00 2012","","The Trial of Chaplain Jensen","TV Movie","Robert Day","6.2","73","1975","drama","17","1975-02-11","http://www.imdb.com/title/tt0073819/"
"136","tt0197737","Sun Jan 15 18:34:13 2012","Sun Jan 15 18:34:13 2012","","The Nurse Killer","TV Movie","","6.7","90","1975","","6","1975-03-31","http://www.imdb.com/title/tt0197737/"
"137","tt0089757","Sun Jan 15 18:34:23 2012","Sun Jan 15 18:34:23 2012","","Out of the Darkness","TV Movie","Jud Taylor","6.4","120","1985","crime, drama, thriller","266","1985-10-12","http://www.imdb.com/title/tt0089757/"
"138","tt0070012","Sun Jan 15 18:34:53 2012","Sun Jan 15 18:34:53 2012","","Dying Room Only","TV Movie","Philip Leacock","7.3","74","1973","mystery, thriller, horror","338","1973-09-18","http://www.imdb.com/title/tt0070012/"
"139","tt0064965","Sun Jan 15 18:35:21 2012","Sun Jan 15 18:35:21 2012","","Seven in Darkness","TV Movie","Michael Caffey","7.0","74","1969","adventure, drama","102","1969-09-23","http://www.imdb.com/title/tt0064965/"
"140","tt0064438","Sun Jan 15 18:36:40 2012","Sun Jan 15 18:36:40 2012","","Honeymoon with a Stranger","TV Movie","John Peyser","7.0","74","1969","thriller","54","1969-12-23","http://www.imdb.com/title/tt0064438/"
"141","tt0066572","Sun Jan 15 18:37:08 2012","Sun Jan 15 18:37:08 2012","","Wild Women","TV Movie","Don Taylor","6.2","74","1970","action, adventure, drama, western","47","1970-10-20","http://www.imdb.com/title/tt0066572/"
"142","tt0066054","Sun Jan 15 18:37:27 2012","Sun Jan 15 18:37:27 2012","","The Man Who Wanted to Live Forever","TV Movie","John Trent","5.4","75","1970","thriller","33","1970-11-20","http://www.imdb.com/title/tt0066054/"
"143","tt0066975","Sun Jan 15 18:37:45 2012","Sun Jan 15 18:37:45 2012","","Death Takes a Holiday","TV Movie","Robert Butler","7.7","90","1971","fantasy, drama","153","1971-10-23","http://www.imdb.com/title/tt0066975/"
"144","tt0067728","Sun Jan 15 18:38:05 2012","Sun Jan 15 18:38:05 2012","","See the Man Run","TV Movie","Corey Allen","7.9","73","1971","action, thriller, drama","61","1971-12-11","http://www.imdb.com/title/tt0067728/"
"145","tt0067996","Sun Jan 15 18:38:22 2012","Sun Jan 15 18:38:22 2012","","Women in Chains","TV Movie","Bernard L. Kowalski","6.1","74","1972","drama","116","1972-01-25","http://www.imdb.com/title/tt0067996/"
