"position","const","created","modified","description","Title","Title.type","Directors","ForPeopleNotSheeple.rated","IMDb.Rating","Runtime..mins.","Year","Genres","Num..Votes","Release.Date..month.day.year.","URL","id"
2159,"tt0799934","Mon Apr 22 18:29:58 2013","Mon Apr 22 18:29:58 2013","","Be Kind Rewind","Feature Film","Michel Gondry",7,6.4,102,"2008","comedy, drama",77571,"2008-01-20","http://www.imdb.com/title/tt0799934/","0799934"
8340,"tt0253474","Mon Apr 29 18:16:32 2013","Mon Apr 29 18:16:32 2013","","The Pianist","Feature Film","Roman Polanski",8,8.5,150,"2002","biography, drama, war",451122,"2002-05-24","http://www.imdb.com/title/tt0253474/","0253474"
7772,"tt0106770","Mon Apr 29 17:38:35 2013","Mon Apr 29 17:38:35 2013","","Dragon: The Bruce Lee Story","Feature Film","Rob Cohen",NA,7,120,"1993","action, biography, drama",20693,"1993-05-07","http://www.imdb.com/title/tt0106770/","0106770"
8244,"tt0418689","Mon Apr 29 18:16:31 2013","Mon Apr 29 18:16:31 2013","","Flags of Our Fathers","Feature Film","Clint Eastwood",NA,7.1,135,"2006","drama, history, war",97329,"2006-10-20","http://www.imdb.com/title/tt0418689/","0418689"
3426,"tt0104454","Mon Apr 22 18:34:20 2013","Mon Apr 22 18:34:20 2013","","Howards End","Feature Film","James Ivory",NA,7.5,140,"1992","drama, romance",20476,"1992-03-13","http://www.imdb.com/title/tt0104454/","0104454"
9911,"tt2494376","Thu Feb 12 09:05:51 2015","Thu Feb 12 09:05:51 2015","","Dark Universe","Feature Film","",NA,NA,NA,"????","fantasy, sci_fi",NA,"","http://www.imdb.com/title/tt2494376/","2494376"
4695,"tt0371739","Mon Apr 22 18:38:24 2013","Mon Apr 22 18:38:24 2013","","The Zodiac","Feature Film","Alexander Bulkley",NA,5.4,92,"2005","crime, drama, horror, mystery, thriller",6085,"2005-07-31","http://www.imdb.com/title/tt0371739/","0371739"
7825,"tt0119951","Mon Apr 29 17:38:36 2013","Mon Apr 29 17:38:36 2013","","Private Parts","Feature Film","Betty Thomas",NA,6.8,109,"1997","biography, comedy, drama",28465,"1997-03-07","http://www.imdb.com/title/tt0119951/","0119951"
6864,"tt0795421","Mon Apr 22 22:45:14 2013","Mon Apr 22 22:45:14 2013","","Mamma Mia!","Feature Film","Phyllida Lloyd",4,6.3,108,"2008","comedy, musical, romance",136181,"2008-06-30","http://www.imdb.com/title/tt0795421/","0795421"
7910,"tt0116594","Mon Apr 29 17:39:18 2013","Mon Apr 29 17:39:18 2013","","I Shot Andy Warhol","Feature Film","Mary Harron",NA,6.6,103,"1996","biography, drama",5365,"1996-01-20","http://www.imdb.com/title/tt0116594/","0116594"
9749,"tt1229403","Thu Feb 12 09:05:47 2015","Thu Feb 12 09:05:47 2015","","Cocaine Cowboys","Feature Film","Peter Berg",NA,NA,NA,"????","drama",NA,"","http://www.imdb.com/title/tt1229403/","1229403"
756,"tt0335345","Mon Apr 22 18:26:34 2013","Mon Apr 22 18:26:34 2013","","The Passion of the Christ","Feature Film","Mel Gibson",7,7.1,127,"2004","drama",171838,"2004-02-25","http://www.imdb.com/title/tt0335345/","0335345"
1815,"tt1230204","Mon Apr 22 18:29:06 2013","Mon Apr 22 18:29:06 2013","","A Turtle's Tale: Sammy's Adventures","Feature Film","Ben Stassen",NA,6.1,88,"2010","animation, adventure, family",5074,"2010-08-04","http://www.imdb.com/title/tt1230204/","1230204"
