"title_imdb","title_type_imdb","directors_imdb","imdb_rating_imdb","runtime_imdb","year_imdb","num_votes_imdb","rel_date_imdb","url_imdb","id_imdb","title_rt","year_rt","genre_rt","mpaa_rating_rt","runtime_rt","the_rel_date_rt","dvd_rel_date_rt","critics_score_rt","critics_rating_rt","audience_score_rt","audience_rating_rt","actor1_rt","actor2_rt","actor3_rt","actor4_rt","actor5_rt","director_rt","studio_rt","url_rt"
"Streets of Gold","Feature Film","Joe Roth",6,95,"1986",486,"1986-11-14","http://www.imdb.com/title/tt0092022/","0092022","Streets of Gold","1986","Drama","R","95","1986-11-14",NA,31,"Rotten",44,"Spilled","Klaus Maria Brandauer","Adrian Pasdar","Richard Pasdar","Wesley Snipes","Angela Molina","Joe Roth","Live Home Video","//www.rottentomatoes.com/m/streets_of_gold/"
"Endless Love","Feature Film","Franco Zeffirelli",4.7,116,"1981",5336,"1981-07-17","http://www.imdb.com/title/tt0082329/","0082329","Endless Love","1981","Drama","R","115",NA,"2014-07-06",25,"Rotten",54,"Spilled","Brooke Shields","Martin Hewitt","Shirley Knight","Don Murray","Richard Kiley","Franco Zeffirelli","Universal","//www.rottentomatoes.com/m/endless_love/"
"Model Behavior","TV Movie","Mark Rosman",6.1,85,"2000",2316,"2000-03-12","http://www.imdb.com/title/tt0218121/","0218121","Model Behavior","2000","Television","Unrated","89","2000-03-12","2000-09-19",-1,NA,66,"Upright","Maggie Lawson","Kathie Lee Gifford","Justin Timberlake","Jesse Nilsson","Cody Gifford","Mark Rosman","Karz Entertainment","//www.rottentomatoes.com/m/1098497-model_behavior/"
"The Mod Squad","Feature Film","Scott Silver",4.1,92,"1999",7658,"1999-03-17","http://www.imdb.com/title/tt0120757/","0120757","The Mod Squad","1999","Drama","R","94","1999-03-26","1999-08-24",4,"Rotten",17,"Spilled","Claire Danes","Giovanni Ribisi","Omar Epps","Josh Brolin","Dennis Farina","Scott Silver","MGM","//www.rottentomatoes.com/m/mod_squad/"
"Where the Heart Is","Feature Film","John Boorman",6.1,107,"1990",1268,"1990-02-23","http://www.imdb.com/title/tt0100924/","0100924","Where the Heart Is","1990","Drama","R","115","1990-01-01","2003-06-03",11,"Rotten",58,"Spilled","Dabney Coleman","Uma Thurman","Joanna Cassidy","Crispin Glover","Suzy Amis","John Boorman","Touchstone Pictures","//www.rottentomatoes.com/m/1028561-where_the_heart_is/"
"Battlefield Earth","Feature Film","Roger Christian",2.4,118,"2000",64119,"2000-05-10","http://www.imdb.com/title/tt0185183/","0185183","Battlefield Earth","2000","Action & Adventure","PG-13","118","2000-05-12","2001-01-16",3,"Rotten",11,"Spilled","John Travolta","Barry Pepper","Forest Whitaker","Kim Coates","Richard Tyson","Roger Christian","Warner Bros. Pictures","//www.rottentomatoes.com/m/battlefield_earth/"
"Playback","Feature Film","Michael A. Nickles",4.2,98,"2012",4047,"2012-02-08","http://www.imdb.com/title/tt1682940/","1682940","Playback","2012","Mystery & Suspense","R","113","2012-03-09","2012-05-07",0,"Rotten",77,"Upright","Christian Slater","Ambyr Childers","Toby Hemingway","Jonathan Keltz","Jennifer Missoni","Michael A. Nickles","Magnolia Releasing","//www.rottentomatoes.com/m/playback_2011/"
"Osmosis Jones","Feature Film","Bobby Farrelly, Peter Farrelly",6.2,95,"2001",24678,"2001-08-07","http://www.imdb.com/title/tt0181739/","0181739","Osmosis Jones","2001","Comedy","PG","95","2001-08-10","2001-11-13",55,"Rotten",41,"Spilled","Bill Murray","Chris Rock","Laurence Fishburne","David Hyde Pierce","William Shatner","Bill Murray","Warner Bros. Pictures","//www.rottentomatoes.com/m/osmosis_jones/"
"Bo Burnham: Words, Words, Words","TV Special","Shannon Hartman",8.1,63,"2010",888,"2010-10-16","http://www.imdb.com/title/tt1747960/","1747960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Never Cry Wolf","Feature Film","Carroll Ballard",7.6,105,"1983",6114,"1983-10-06","http://www.imdb.com/title/tt0086005/","0086005","Never Cry Wolf","1983","Drama","PG","105","1983-01-01","2000-02-22",100,"Fresh",85,"Upright","Charles Martin Smith","Brian Dennehy","Zachary Ittimangnaq","Samson Jorah","Hugh Webster","Carroll Ballard","Disney","//www.rottentomatoes.com/m/never_cry_wolf/"
"Into the Sun","Feature Film","mink",4.4,97,"2005",5677,"2005-02-15","http://www.imdb.com/title/tt0358294/","0358294","Into the Sun","2005","Action & Adventure","R","104","2005-02-01","2005-02-15",-1,NA,27,"Spilled","Matthew Davis","Takao Osawa","Akira Terao","Ken Lo","William Atherton","mink","Screen Gems","//www.rottentomatoes.com/m/1139813-into_the_sun/"
"A Good Woman","Feature Film","Mike Barker",6.5,93,"2004",9399,"2004-09-15","http://www.imdb.com/title/tt0379306/","0379306","A Good Woman","2006","Drama","PG","93","2006-02-03","2006-06-13",37,"Rotten",49,"Spilled","Helen Hunt","Scarlett Johansson","Tom Wilkinson","Stephen Campbell Moore","Mark Umbers","Mike Barker","Lions Gate Films","//www.rottentomatoes.com/m/good_woman/"
"Drive","Feature Film","Nicolas Winding Refn",7.8,100,"2011",414650,"2011-05-20","http://www.imdb.com/title/tt0780504/","0780504","Drive","2011","Drama","R","100","2011-09-16","2012-01-31",92,"Certified Fresh",79,"Upright","Ryan Gosling","Carey Mulligan","Albert Brooks","Bryan Cranston","Christina Hendricks","Nicolas Winding Refn","FilmDistrict","//www.rottentomatoes.com/m/drive_2011/"
"The Legacy","Feature Film","Richard Marquand",5.7,102,"1978",1518,"1978-09","http://www.imdb.com/title/tt0079450/","0079450","The Legacy","1978","Mystery & Suspense","R","100",NA,"2004-09-07",-1,NA,27,"Spilled","Katharine Ross","Sam Elliott","John Standing","Margaret Tyzack","Ian Hogg","Richard Marquand","MCA Universal Home Video","//www.rottentomatoes.com/m/1012162-legacy/"
"Best Boy","Documentary","Ira Wohl",7.9,111,"1979",463,"1979-09-07","http://www.imdb.com/title/tt0078850/","0078850","Best Boy","1979","Documentary","Unrated","104","1979-09-07","2004-04-27",-1,NA,95,"Upright","Philly Wohl","Pearl Wohl","Max Wohl","Zero Mostel",NA,"Ira Wohl","Docurama","//www.rottentomatoes.com/m/1002058-best_boy/"
"Angelfall","Feature Film","",NA,NA,"????",NA,"","http://www.imdb.com/title/tt2581316/","2581316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2 Days in the Valley","Feature Film","John Herzfeld",6.5,104,"1996",15291,"1996-09-12","http://www.imdb.com/title/tt0115438/","0115438","2 Days in the Valley","1996","Drama","R","107","1996-09-27","2001-08-07",60,"Fresh",54,"Spilled","Danny Aiello","Greg Cruttwell","James Spader","Teri Hatcher","Charlize Theron","John Herzfeld","HBO Video","//www.rottentomatoes.com/m/2_days_in_the_valley/"
"Married to It","Feature Film","Arthur Hiller",5.9,112,"1991",725,"1991-09-11","http://www.imdb.com/title/tt0107523/","0107523","Married to It","1993","Drama","R","112","1993-03-26","2003-04-01",33,"Rotten",41,"Spilled","Beau Bridges","Stockard Channing","Robert Sean Leonard","Mary Stuart Masterson","Cybill Shepherd","Arthur Hiller","Orion Home Video","//www.rottentomatoes.com/m/married_to_it/"
"The Neon Ceiling","TV Movie","Frank Pierson",8.2,100,"1971",112,"1971-02-08","http://www.imdb.com/title/tt0066133/","0066133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pay It Forward","Feature Film","Mimi Leder",7.1,123,"2000",93331,"2000-10-12","http://www.imdb.com/title/tt0223897/","0223897","Pay It Forward","2000","Drama","PG-13","123","2000-10-20","2001-05-15",40,"Rotten",77,"Upright","Kevin Spacey","Helen Hunt","Haley Joel Osment","Angie Dickinson","Jay Mohr","Mimi Leder","Warner Bros. Pictures","//www.rottentomatoes.com/m/pay_it_forward/"
"David Copperfield","Mini-Series","Simon Curtis",7.8,185,"1999",3232,"1999-12-25","http://www.imdb.com/title/tt0167872/","0167872","David Copperfield","1999","Drama","Unrated","185","1999-04-16","2002-12-17",-1,NA,83,"Upright","Emilia Fox","Pauline Quirke","Maggie Smith","Daniel Radcliffe","Bob Hoskins","Simon Curtis","WGBH Boston Video","//www.rottentomatoes.com/m/1097209-david_copperfield/"
"Topsy-Turvy","Feature Film","Mike Leigh",7.4,154,"1999",9876,"1999-09-03","http://www.imdb.com/title/tt0151568/","0151568","Topsy-Turvy","1999","Drama","R","160","1999-12-17","2000-06-20",89,"Certified Fresh",79,"Upright","Jim Broadbent","Allan Corduner","Alan Corduner","Timothy Spall","Lesley Manville","Mike Leigh","October Films","//www.rottentomatoes.com/m/topsyturvy/"
"Beyond the Gates","Feature Film","Michael Caton-Jones",7.7,115,"2005",9525,"2005-09-11","http://www.imdb.com/title/tt0420901/","0420901","Beyond the Gates","2005","Drama","R","115","2005-12-08","2007-09-18",84,"Certified Fresh",85,"Upright","John Hurt","Hugh Dancy","Dominique Horwitz","Louis Mahoney","Nicola Walker","Michael Caton-Jones","IFC First Take","//www.rottentomatoes.com/m/beyond_the_gates/"
"Top Secret!","Feature Film","Jim Abrahams, David Zucker",7.2,90,"1984",44741,"1984-06-08","http://www.imdb.com/title/tt0088286/","0088286","Top Secret!","1984","Comedy","PG","90","1984-06-08","2002-07-16",76,"Fresh",80,"Upright","Val Kilmer","Omar Sharif","Lucy Gutteridge","Christopher Villiers","Peter Cushing","David Zucker","Paramount Home Video","//www.rottentomatoes.com/m/1021699-top_secret/"
"Gaza Strip","Documentary","James Longley",7.3,74,"2002",285,"2002-08-01","http://www.imdb.com/title/tt0329112/","0329112","Gaza Strip","2002","Documentary","Unrated","74","2002-01-01","2003-05-06",78,"Fresh",89,"Upright",NA,NA,NA,NA,NA,"James Longley","Arab Film Distribution","//www.rottentomatoes.com/m/gaza_strip/"
