"title","title_type","directors","imdb_rating","runtime","year","num_votes","rel_date","url","id","title_rt","year_rt","genre_rt","mpaa_rating","runtime_rt","critics_rating","critics_score","audience_rating","audience_score","actor1","actor2","actor3","actor4","actor5","director_rt","studio","link"
"The Smurfs","Feature Film","Raja Gosnell",5.5,103,"2011",62935,"2011-07-24","http://www.imdb.com/title/tt0472181/","0472181","The Smurfs",2011,"Action & Adventure","PG","103","Rotten",22,"Spilled",44,"Neil Patrick Harris","Sofia Vergara","Jayma Mays","Tim Gunn","Jonathan Winters","Raja Gosnell","Sony Pictures Columbia","http://www.rottentomatoes.com/m/the_smurfs/"
"Wish Upon a Star","TV Movie","Blair Treu",6.9,90,"1996",5384,"1996-11-12","http://www.imdb.com/title/tt0118178/","0118178","Wish Upon a Star",1996,"Comedy","PG","90",NA,-1,"Upright",74,"Katherine Heigl","Danielle Harris","Donnie Jeffcoat","Lois Chiles","Mary Parker Williams","Blair Treu","Sony Pictures Home Entertainment","http://www.rottentomatoes.com/m/wish_upon_a_star/"
"Then She Found Me","Feature Film","Helen Hunt",6,100,"2007",8207,"2007-09-07","http://www.imdb.com/title/tt0455805/","0455805","Then She Found Me",2007,"Drama","R","100","Rotten",50,"Spilled",44,"Helen Hunt","Bette Midler","Colin Firth","Matthew Broderick","Ben Shenkman","Helen Hunt","ThinkFilm","http://www.rottentomatoes.com/m/then_she_found_me/"
"The Brandon Teena Story","Documentary","Susan Muska, Greta Olafsdottir",7.3,89,"1998",791,"1998-02-21","http://www.imdb.com/title/tt0144801/","0144801","The Brandon Teena Story",1998,"Documentary","Unrated","88","Fresh",67,"Upright",70,"Brandon Teena","John Lotter",NA,NA,NA,"Susan Muska","Bless Bless Productions","http://www.rottentomatoes.com/m/brandon_teena_story/"
"The Punisher","Feature Film","Mark Goldblatt",5.6,89,"1989",14920,"1989-10-05","http://www.imdb.com/title/tt0098141/","0098141","The Punisher",1989,"Action & Adventure","R","92","Rotten",28,"Spilled",32,"Dolph Lundgren","Louis Gossett Jr","Jeroen Krabbe","Kim Miyori","Barry Otto","Mark Goldblatt","New World","http://www.rottentomatoes.com/m/1030887-punisher/"
"A Shining Season","TV Movie","Stuart Margolin",7.4,100,"1979",87,"1979-12-25","http://www.imdb.com/title/tt0079905/","0079905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Texas Chain Saw Massacre","Feature Film","Tobe Hooper",7.5,83,"1974",89764,"1974-10-01","http://www.imdb.com/title/tt0072271/","0072271","The Texas Chainsaw Massacre",1974,"Classics","R","83","Fresh",88,"Upright",82,"Gunnar Hansen","Marilyn Burns","Allen Danziger","Teri McMinn","William Vail","Tobe Hooper","Bryanston Pictures","http://www.rottentomatoes.com/m/1021112-texas_chainsaw_massacre/"
"Kangaroo Jack","Feature Film","David McNally",4.4,89,"2003",22253,"2003-01-11","http://www.imdb.com/title/tt0257568/","0257568","Jack",2003,"Drama","PG-13","145",NA,-1,"Upright",60,"Anton Yelchin","Ron Silver","Stockard Channing","Brent Spiner","Andrew Airlie","Lee Rose","Showtime Networks Inc.","http://www.rottentomatoes.com/m/1136750-jack/"
"Love and Pain and the Whole Damn Thing","Feature Film","Alan J. Pakula",6.9,110,"1973",577,"1973-04-19","http://www.imdb.com/title/tt0068850/","0068850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tracker","Feature Film","Ian Sharp",6.5,102,"2010",2750,"2010-09-12","http://www.imdb.com/title/tt1414378/","1414378","Tracker",2011,"Drama","R","102","Fresh",85,"Spilled",51,"Ray Winstone","Temuera Morrison","Andy Anderson",NA,NA,"Ian Sharp","Kaleidoscope","http://www.rottentomatoes.com/m/tracker/"
"The Shaggy Dog","Feature Film","Brian Robbins",4.4,98,"2006",14221,"2006-03-09","http://www.imdb.com/title/tt0393735/","0393735","The Shaggy Dog",2006,"Action & Adventure","PG","98","Rotten",26,"Spilled",39,"Tim Allen","Kristin Davis","Robert Downey Jr.","Zena Grey","Jan Devereaux","Brian Robbins","Buena Vista","http://www.rottentomatoes.com/m/shaggy_dog/"
"Immortal (Ad Vitam)","Feature Film","Enki Bilal",6,103,"2004",17618,"2004-03-13","http://www.imdb.com/title/tt0314063/","0314063","Immortal",2004,"Drama","R","102","Rotten",43,"Spilled",53,"Thomas Kretschmann","Charlotte Rampling","Linda Hardy","Frederic Pierrot","Thomas M. Pollard","Enki Bilal","UFD","http://www.rottentomatoes.com/m/immortal_2004/"
"Normal","TV Movie","Jane Anderson",7.3,110,"2003",2559,"2003-01-21","http://www.imdb.com/title/tt0338290/","0338290","Normal",2003,"Drama","Unrated","110","Fresh",100,"Upright",75,"Tom Wilkinson","Jessica Lange","Randall Arney","Hayden Panettiere","Joe Sikora","Jane Anderson","Bankside Films","http://www.rottentomatoes.com/m/normal/"
"Vanishing Point","TV Movie","Charles Robert Carner",5.7,91,"1997",2121,"1997-01-07","http://www.imdb.com/title/tt0120430/","0120430","Vanishing Point",1997,"Drama","R","92",NA,-1,"Upright",64,"Keith David","Viggo Mortensen","Christine Elise","John Doe","Steve Railsback","Charles Robert Carner","Anchor Bay Entertainment","http://www.rottentomatoes.com/m/1142881-vanishing_point/"
"The Somme","TV Movie","Carl Hindmarch",7.9,102,"2005",169,"2005-11-14","http://www.imdb.com/title/tt0489278/","0489278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bound","Feature Film","The Wachowski Brothers, The Wachowski Brothers",7.4,108,"1996",39299,"1996-08-31","http://www.imdb.com/title/tt0115736/","0115736","Bound",1996,"Mystery & Suspense","R","107","Fresh",92,"Upright",82,"Jennifer Tilly","Gina Gershon","Joe Pantoliano","John P. Ryan","Christopher Meloni","Larry Wachowski","Republic Pictures Home Video","http://www.rottentomatoes.com/m/bound/"
"Return to the Hiding Place","Feature Film","Peter C. Spencer, Josiah Spencer",4.6,102,"2013",564,"2011-08-22","http://www.imdb.com/title/tt1691153/","1691153","Return to the Hiding Place",2014,"Mystery & Suspense","PG-13","123",NA,-1,"Upright",68,"John Rhys-Davies","Craig Robert Young","David Thomas Jenkins","Mimi Sagadin","Joanie Stewart","Josiah Spencer","Hammond Entertainment","http://www.rottentomatoes.com/m/return_to_the_hiding_place/"
"Nikki and Nora","TV Movie","",8.1,NA,"2004",116,"2004","http://www.imdb.com/title/tt1320104/","1320104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"No Holds Barred","Feature Film","Thomas J. Wright",4.2,93,"1989",4476,"1989-06-02","http://www.imdb.com/title/tt0097987/","0097987","No Holds Barred",1989,"Drama","PG-13","98","Rotten",11,"Spilled",35,"Hulk Hogan","Terry 'Hulk' Hogan","Kurt Fuller","Joan Severance","Tommy 'Tiny' Lister","Thomas J. Wright","Sony Pictures Home Entertainment","http://www.rottentomatoes.com/m/no_holds_barred/"
"D.E.B.S.","Feature Film","Angela Robinson",5.2,91,"2004",11735,"2004-01-22","http://www.imdb.com/title/tt0367631/","0367631","D.E.B.S.",2004,"Action & Adventure","PG-13","91","Rotten",38,"Spilled",55,"Jordana Brewster","Sara Foster","Meagan Good","Devon Aoki","Jill Ritchie","Angela Robinson (III)","Destination Films","http://www.rottentomatoes.com/m/debs/"
"The Haunting","Feature Film","Jan de Bont",4.9,113,"1999",56033,"1999-07-20","http://www.imdb.com/title/tt0171363/","0171363","The Haunting",1999,"Mystery & Suspense","PG-13","113","Rotten",17,"Spilled",28,"Liam Neeson","Catherine Zeta-Jones","Lili Taylor","Owen Wilson","Bruce Dern","Jan de Bont","DreamWorks SKG","http://www.rottentomatoes.com/m/1090789-haunting/"
"She's the Man","Feature Film","Andy Fickman",6.4,105,"2006",107800,"2006-03-17","http://www.imdb.com/title/tt0454945/","0454945","She's the Man",2006,"Comedy","PG-13","105","Rotten",43,"Upright",79,"Amanda Bynes","Channing Tatum","Laura Ramsey","Vinnie Jones","Robert Hoffman","Andy Fickman","DreamWorks SKG","http://www.rottentomatoes.com/m/shes_the_man/"
"The Witches of Eastwick","Feature Film","George Miller",6.5,118,"1987",44974,"1987-06-12","http://www.imdb.com/title/tt0094332/","0094332","The Witches of Eastwick",1987,"Horror","R","118","Fresh",73,"Upright",62,"Jack Nicholson","Cher","Susan Sarandon","Michelle Pfeiffer","Veronica Cartwright","George Miller","Warner Home Video","http://www.rottentomatoes.com/m/witches_of_eastwick/"
"The Good Samaritan","TV Movie","Kenny Glenaan",8.4,90,"2007",64,"2007-05-16","http://www.imdb.com/title/tt1033590/","1033590","The Good Samaritan",2008,"Special Interest","Unrated","12",NA,-1,NA,0,"Rachael Lee","James Tokley","Robert Elfstrom",NA,NA,"Evan Smith",NA,"http://www.rottentomatoes.com/m/the-good-samaritan/"
"Without a Clue","Feature Film","Thom Eberhardt",7,107,"1988",6889,"1988-10-21","http://www.imdb.com/title/tt0096454/","0096454","Without a Clue",1988,"Mystery & Suspense","PG","107","Fresh",60,"Upright",73,"Michael Caine","Ben Kingsley","Jeffrey Jones","Lysette Anthony","Matthew Sim","Thom Eberhardt","Orion Home Video","http://www.rottentomatoes.com/m/without_a_clue/"
"The Neverending Story II: The Next Chapter","Feature Film","George Miller",5,90,"1990",16858,"1990-10-25","http://www.imdb.com/title/tt0100240/","0100240","The Neverending Story II: The Next Chapter",1991,"Action & Adventure","G","90","Rotten",0,"Spilled",40,"Jonathan Brandis","Clarissa Burt","Kenny Morrison","Alexandra Johnes","Martin Umbach","George Trumbull Miller","Warner Home Video","http://www.rottentomatoes.com/m/the_neverending_story_ii_the_next_chapter_1990/"
"The Brothers","Feature Film","Gary Hardwick",6.3,106,"2001",3036,"2001-02-18","http://www.imdb.com/title/tt0250274/","0250274","The Brothers",2001,"Comedy","R","101","Fresh",63,"Upright",86,"Morris Chestnut","Shemar Moore","D.L. Hughley","Bill Bellamy","Gabrielle Union","Gary Hardwick","Screen Gems","http://www.rottentomatoes.com/m/1105979-brothers/"
"Predators","Feature Film","Nimród Antal",6.4,107,"2010",163149,"2010-07-07","http://www.imdb.com/title/tt1424381/","1424381","Predators",2010,"Action & Adventure","R","107","Fresh",64,"Spilled",52,"Adrien Brody","Topher Grace","Alice Braga","Walton Goggins","Oleg Taktarov","Nimrod Antal","20th Century Fox","http://www.rottentomatoes.com/m/10012256-predators/"
"9th Company","Feature Film","Fedor Bondarchuk",7.2,139,"2005",15910,"2005-09-29","http://www.imdb.com/title/tt0417397/","0417397","The 9th Company (9 rota)",2005,"Drama","R","139","Fresh",69,"Upright",76,"Aleksey Chadov","Artur Smolyaninov","Mikhail Porechenkov","Konstantin Kryukov","Artyom Mikhalkov","Fyodor Bondarchuk","Contender Entertainment Group","http://www.rottentomatoes.com/m/the-9th-company/"
"Young Doctors in Love","Feature Film","Garry Marshall",5.2,96,"1982",2361,"1982-07-16","http://www.imdb.com/title/tt0084938/","0084938","Young Doctors in Love",1982,"Comedy","R","95","Rotten",31,"Spilled",38,"Michael McKean","Sean Young","Dabney Coleman","Harry Dean Stanton","Patrick Macnee","Garry Marshall","20th Century Fox Film Corporation","http://www.rottentomatoes.com/m/young_doctors_in_love/"
"Find Me Guilty","Feature Film","Sidney Lumet",7.1,125,"2006",26985,"2006-02-16","http://www.imdb.com/title/tt0419749/","0419749","Find Me Guilty",2006,"Drama","R","124","Fresh",61,"Upright",62,"Vin Diesel","Peter Dinklage","Linus Roache","Ron Silver","Alex Rocco","Sidney Lumet","Yari Film Group","http://www.rottentomatoes.com/m/find_me_guilty/"
"The Take","Feature Film","Brad Furman",5.8,96,"2007",1865,"2007-09-12","http://www.imdb.com/title/tt0828158/","0828158","The Take",2007,"Drama","R","100","Fresh",85,"Spilled",49,"John Leguizamo","Tyrese Gibson","Rosie Perez","Bobby Cannavale","Yul Vazquez","Brad Furman","Hatchet Films","http://www.rottentomatoes.com/m/1194326-take/"
"Albino Alligator","Feature Film","Kevin Spacey",6.1,97,"1996",6458,"1996-09-09","http://www.imdb.com/title/tt0115495/","0115495","Albino Alligator",1996,"Mystery & Suspense","R","97","Rotten",44,"Spilled",42,"Matt Dillon","Faye Dunaway","Gary Sinise","William Fichtner","Joe Mantegna","Kevin Spacey","Miramax","http://www.rottentomatoes.com/m/albino_alligator/"
"Valentine's Day","Feature Film","Garry Marshall",5.8,125,"2010",89874,"2010-02-08","http://www.imdb.com/title/tt0817230/","0817230","Valentine's Day",2010,"Comedy","PG-13","123","Rotten",18,"Spilled",47,"Jessica Alba","Julia Roberts","Bradley Cooper","Kathy Bates","Jessica Biel","Garry Marshall","New Line Cinema/Warner Bros. Pictures","http://www.rottentomatoes.com/m/valentines_day_2010/"
"The Legend of Zorro","Feature Film","Martin Campbell",5.9,129,"2005",66161,"2005-10-24","http://www.imdb.com/title/tt0386140/","0386140","The Legend of Zorro",2005,"Drama","PG","129","Rotten",26,"Spilled",48,"Antonio Banderas","Catherine Zeta-Jones","Adrian Alonso","Rufus Sewell","Nick Chinlund","Martin  Campbell","Sony Pictures Entertainment","http://www.rottentomatoes.com/m/legend_of_zorro/"
"Saturn 3","Feature Film","Stanley Donen",5,96,"1980",5830,"1980-02-15","http://www.imdb.com/title/tt0079285/","0079285","Saturn 3",1980,"Action & Adventure","R","88","Rotten",10,"Spilled",31,"Farrah Fawcett","Douglas Lambert","Kirk Douglas","Harvey Keitel","Douglas Lambert","Farrah Fawcett","Associated Film Distribution","http://www.rottentomatoes.com/m/saturn_3/"
"A Huey P. Newton Story","Documentary","Spike Lee",7.1,86,"2001",543,"2001-06-08","http://www.imdb.com/title/tt0278490/","0278490","A Huey P. Newton Story",2001,"Documentary","Unrated","90","Fresh",100,"Upright",89,"Roger Guenveur Smith","Huey Lewis",NA,NA,NA,"Spike Lee",NA,"http://www.rottentomatoes.com/m/a-huey-p-newton-story/"
"Muriel's Wedding","Feature Film","P.J. Hogan",7.2,106,"1994",26600,"1994-09-15","http://www.imdb.com/title/tt0110598/","0110598","Muriel's Wedding",1995,"Comedy","R","105","Certified Fresh",78,"Upright",84,"Toni Collette","Bill Hunter","Rachel Griffiths","Sophie Lee","Rosalind Hammond","P.J. Hogan","Miramax","http://www.rottentomatoes.com/m/muriels_wedding/"
"Trial by Jury","Feature Film","Heywood Gould",5.3,107,"1994",1397,"1994-09-09","http://www.imdb.com/title/tt0111488/","0111488","Trial by Jury",1994,"Mystery & Suspense","R","108","Rotten",9,"Spilled",27,"Joanne Whalley","Armand Assante","Gabriel Byrne","William Hurt","Kathleen Quinlan","Heywood Gould","Warner Home Video","http://www.rottentomatoes.com/m/trial_by_jury/"
"Death Race","Feature Film","Paul W.S. Anderson",6.4,105,"2008",158095,"2008-08-21","http://www.imdb.com/title/tt0452608/","0452608","Death Race",2008,"Action & Adventure","R","105","Rotten",43,"Upright",61,"Jason Statham","Joan Allen","Ian McShane","Tyrese Gibson","Robin Shou","Paul W.S. Anderson","Universal Pictures","http://www.rottentomatoes.com/m/death_race/"
"Van Wilder","Feature Film","Walt Becker",6.4,92,"2002",84774,"2002-04-04","http://www.imdb.com/title/tt0283111/","0283111","National Lampoon's Van Wilder",2002,"Comedy","R","95","Rotten",19,"Upright",74,"Ryan Reynolds","Tara Reid","Tim Matheson","Kal Penn","Teck Holmes","Walt Becker","Artisan Entertainment","http://www.rottentomatoes.com/m/national_lampoons_van_wilder/"
"Sweet and Lowdown","Feature Film","Woody Allen",7.3,95,"1999",26591,"1999-09-04","http://www.imdb.com/title/tt0158371/","0158371","Sweet and Lowdown",1999,"Drama","PG-13","95","Certified Fresh",78,"Upright",81,"Sean Penn","Samantha Morton","Uma Thurman","James Urbaniak","Brian Markinson","Woody Allen","Sony Pictures Classics","http://www.rottentomatoes.com/m/sweet_and_lowdown/"
"Strictly Business","Feature Film","Kevin Hooks",5.3,83,"1991",1283,"1991-11-08","http://www.imdb.com/title/tt0102996/","0102996","Strictly Business",1991,"Drama","PG-13","83","Rotten",10,"Spilled",56,"Tommy Davidson","Joseph C. Phillips","Anne-Marie Johnson","David Marshall Grant","Jon Cypher","Rolando Hudson","Warner Home Video","http://www.rottentomatoes.com/m/strictly_business/"
"On Deadly Ground","Feature Film","Steven Seagal",4.3,101,"1994",17023,"1994-02-18","http://www.imdb.com/title/tt0110725/","0110725","On Deadly Ground",1994,"Mystery & Suspense","R","101","Rotten",10,"Spilled",35,"Steven Seagal","Michael Caine","Joan Chen","John C. McGinley","R. Lee Ermey","Steven Seagal","Warner Home Video","http://www.rottentomatoes.com/m/on_deadly_ground/"
"Street Warrior","TV Movie","David Jackson",4.6,91,"2008",491,"2008-06-18","http://www.imdb.com/title/tt1260591/","1260591","Street Warrior",2008,"Action & Adventure","R","88",NA,-1,"Spilled",18,"Max Martini","Nick Chinlund","Jane Park Smith","Danny Arroyo","Max Perlich","David Jackson","RHI Entertainment","http://www.rottentomatoes.com/m/street_warrior/"
"General Idi Amin Dada","Documentary","Barbet Schroeder",7.5,90,"1974",1201,"1974-05-29","http://www.imdb.com/title/tt0071544/","0071544","General Idi Amin Dada: Autoportrait (A Self Portrait)",1975,"Documentary","Unrated","90","Fresh",77,"Upright",78,"Idi Amin","Fidel Castro","Golda Meir",NA,NA,"Barbet Schroeder","Criterion Collection","http://www.rottentomatoes.com/m/general_idi_amin_dada_autoportrait/"
"The Halloween Tree","TV Movie","Mario Piluso",8.4,90,"1993",1256,"1993-10","http://www.imdb.com/title/tt0191173/","0191173","The Halloween Tree",1993,"Action & Adventure","Unrated","70",NA,-1,"Upright",84,"Ray Bradbury","Alex Greenwald","Edan Gross","Kevin Michaels","Andrew Keegan","Mario Piluso","Warner Home Video","http://www.rottentomatoes.com/m/the-halloween-tree/"
"Lincoln","Feature Film","Steven Spielberg",7.4,150,"2012",185313,"2012-10-08","http://www.imdb.com/title/tt0443272/","0443272","Lincoln",2012,"Drama","PG-13","149","Certified Fresh",90,"Upright",80,"Daniel Day-Lewis","Sally Field","David Strathairn","Tommy Lee Jones","Joseph Gordon-Levitt","Steven Spielberg","Dreamworks Pictures","http://www.rottentomatoes.com/m/lincoln_2011/"
"Fat Pizza","Feature Film","Paul Fenech",6,96,"2003",2831,"2003-04-10","http://www.imdb.com/title/tt0340110/","0340110","Fat Pizza",2003,"Comedy","Unrated","96",NA,-1,NA,63,"Paul Fenech","Paul Nakad","Johnny Boxer","Jabba","Tahir Bilgic","Paul Fenech",NA,"http://www.rottentomatoes.com/m/fat-pizza/"
"Dead Man on Campus","Feature Film","Alan Cohn",6,96,"1998",11363,"1998-08-01","http://www.imdb.com/title/tt0118301/","0118301","Dead Man on Campus",1998,"Drama","R","93","Rotten",15,"Spilled",55,"Tom Everett Scott","Mark-Paul Gosselaar","Poppy Montgomery","Lochlyn Munro","Randy Pearlstein","Alan Cohn","Paramount Pictures","http://www.rottentomatoes.com/m/dead_man_on_campus/"
"Mesrine Part 2: Public Enemy #1","Feature Film","Jean-François Richet",7.5,133,"2008",22247,"2008-10-22","http://www.imdb.com/title/tt0411272/","0411272","Mesrine: Public Enemy #1",2010,"Drama","R","133","Certified Fresh",82,"Upright",82,"Michael Duchaussoy","Vincent Cassel","Ludivine Sagnier","Mathieu Amalric","Gerard Lanvin","Jean-Francois Richet","Music Box Films","http://www.rottentomatoes.com/m/mesrine_public_enemy_1/"
"Mark Twain","Documentary","Ken Burns",8.4,212,"2001",501,"2001-11-10","http://www.imdb.com/title/tt0306355/","0306355","Mark Twain",2012,"Documentary","Unrated","212",NA,-1,NA,100,"Keith David","Kevin Conway","Philip Bosco","Blythe Danner","Carolyn McCormick","Ken Burns",NA,"http://www.rottentomatoes.com/m/mark_twain/"
"Endeavour","TV Movie","Colm McCarthy",8.3,98,"2012",3375,"2012-01-02","http://www.imdb.com/title/tt2039333/","2039333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Would You Rather","Feature Film","David Guy Levy",5.8,93,"2012",19693,"2012-10-14","http://www.imdb.com/title/tt1999995/","1999995","Would You Rather",2013,"Drama","Unrated","95","Rotten",55,"Spilled",37,"Brittany Snow","Jeffrey Combs","Sasha Grey","John Heard","Jonathan Coyne","David Guy Levy","IFC Films","http://www.rottentomatoes.com/m/would_you_rather/"
"The Big Feast","Feature Film","Marco Ferreri",7.2,130,"1973",8118,"1973-05-17","http://www.imdb.com/title/tt0070130/","0070130","La Grande Bouffe (Blow-Out) (Blow Out)",1973,"Drama","NC-17","130","Rotten",55,"Upright",83,"Marcello Mastroianni","Michel Piccoli","Philippe Noiret","Ugo Tognazzi","Andrea Ferreol","Marco Ferreri","Mara Films","http://www.rottentomatoes.com/m/grande_bouffe/"
"The World Is Not Enough","Feature Film","Michael Apted",6.4,128,"1999",148998,"1999-11-08","http://www.imdb.com/title/tt0143145/","0143145","The World Is Not Enough",1999,"Mystery & Suspense","PG-13","125","Rotten",51,"Spilled",50,"Pierce Brosnan","Sophie Marceau","Robert Carlyle","Denise Richards","Judi Dench","Michael Apted","United Artists","http://www.rottentomatoes.com/m/world_is_not_enough/"
"Barnyard","Feature Film","Steve Oedekerk",5.6,90,"2006",20641,"2006-08-04","http://www.imdb.com/title/tt0414853/","0414853","Barnyard",2006,"Animation","PG","90","Rotten",22,"Spilled",52,"Kevin James","Courteney Cox","Sam Elliott","Danny Glover","Wanda Sykes","Steve Oedekerk","Paramount Pictures","http://www.rottentomatoes.com/m/barnyard/"
"Six Pack","Feature Film","Daniel Petrie",5.7,108,"1982",1906,"1982-07-16","http://www.imdb.com/title/tt0084690/","0084690","Six Pack",1982,"Drama","PG","110",NA,-1,"Upright",72,"Kenny Rogers","Diane Lane","Erin Gray","Barry Corbin","Terry Kiser","Daniel Petrie","Anchor Bay Entertainment","http://www.rottentomatoes.com/m/six_pack/"
"The Stepford Wives","Feature Film","Frank Oz",5.2,93,"2004",47848,"2004-06-06","http://www.imdb.com/title/tt0327162/","0327162","The Stepford Wives",2004,"Drama","PG-13","93","Rotten",26,"Spilled",29,"Nicole Kidman","Matthew Broderick","Bette Midler","Glenn Close","Christopher Walken","Frank Oz","Paramount Pictures","http://www.rottentomatoes.com/m/stepford_wives/"
"Lovely & Amazing","Feature Film","Nicole Holofcener",6.9,91,"2001",5917,"2001-08-31","http://www.imdb.com/title/tt0258273/","0258273","Lovely & Amazing",2001,"Drama","R","89","Certified Fresh",86,"Upright",63,"Catherine Keener","Brenda Blethyn","Emily Mortimer","Raven Goodwin","Aunjanue Ellis","Nicole Holofcener","Lions Gate Releasing","http://www.rottentomatoes.com/m/lovely_and_amazing/"
"Akira","Feature Film","",NA,NA,"????",NA,"","http://www.imdb.com/title/tt1134795/","1134795","Akira",2015,"Drama","Unrated","102",NA,-1,NA,0,NA,NA,NA,NA,NA,"Jaume Collett-Serra","Warner Bros. Pictures","http://www.rottentomatoes.com/m/akira_2011/"
"The Sunset Limited","TV Movie","Tommy Lee Jones",7.4,91,"2011",19717,"2011-02-12","http://www.imdb.com/title/tt1510938/","1510938","The Sunset Limited",2011,"Drama","PG","90",NA,-1,"Upright",79,"Samuel L. Jackson","Tommy Lee Jones",NA,NA,NA,"Tommy Lee Jones","HBO","http://www.rottentomatoes.com/m/the_sunset_limited/"
"Grey Gardens","Documentary","Ellen Hovde, Albert Maysles",7.7,94,"1975",7439,"1975-09-27","http://www.imdb.com/title/tt0073076/","0073076","Grey Gardens",1975,"Documentary","PG","94","Fresh",93,"Upright",86,"Edie Beale","Edith Bouvier Beale","Edith Ewing Bouvier Beale","Edith B Beale Jr","Jerry Torre","David Maysles","Janus Films","http://www.rottentomatoes.com/m/grey_gardens/"
"The Mothman Prophecies","Feature Film","Mark Pellington",6.5,119,"2002",61283,"2002-01-25","http://www.imdb.com/title/tt0265349/","0265349","The Mothman Prophecies",2002,"Mystery & Suspense","PG-13","119","Rotten",52,"Spilled",56,"Richard Gere","Laura Linney","Debra Messing","Will Patton","Lucinda Jenney","Mark Pellington","Screen Gems","http://www.rottentomatoes.com/m/mothman_prophecies/"
"Fast Break","Feature Film","Jack Smight",5.9,107,"1979",524,"1979-03-02","http://www.imdb.com/title/tt0079136/","0079136","Fast Break",1979,"Comedy","PG","107",NA,-1,"Spilled",55,"Gabe Kaplan","Harold Sylvester","Michael Warren","Mike Warren","Reb Brown","Don Zavin","Lionsgate","http://www.rottentomatoes.com/m/fast_break/"
"The Bucket List","Feature Film","Rob Reiner",7.4,97,"2007",173530,"2007-12-16","http://www.imdb.com/title/tt0825232/","0825232","The Bucket List",2007,"Drama","PG-13","97","Rotten",41,"Upright",77,"Jack Nicholson","Morgan Freeman","Sean Hayes","Beverly Todd","Alfonso Freeman","Rob Reiner","Warner Bros. Pictures","http://www.rottentomatoes.com/m/bucket_list/"
"Plenty","Feature Film","Fred Schepisi",6.1,121,"1985",1999,"1985-09-10","http://www.imdb.com/title/tt0089816/","0089816","Plenty",1985,"Art House & International","R","119","Rotten",57,"Spilled",52,"Meryl Streep","Charles Dance","Sting","John Gielgud","Tracey Ullman","Fred Schepisi","20th Century Fox Film Corporat","http://www.rottentomatoes.com/m/plenty/"
"Colors","Feature Film","Dennis Hopper",6.7,120,"1988",18080,"1988-04-15","http://www.imdb.com/title/tt0094894/","0094894","Colors",1988,"Drama","R","120","Fresh",82,"Upright",72,"Robert Duvall","Sean Penn","Maria Conchita Alonso","Randy Brooks","Grand L. Bush","Dennis Hopper","Orion Home Video","http://www.rottentomatoes.com/m/1004485-colors/"
"Swelter","Feature Film","Keith Parmer",4.6,96,"2014",1745,"2014-04-27","http://www.imdb.com/title/tt2112277/","2112277","Swelter",2014,"Drama","R","110",NA,-1,"Spilled",23,"Alfred Molina","Catalina Sandino Moreno","Grant  Bowler","Jean-Claude Van Damme","Lennie James","Keith Parmer","Well Go USA","http://www.rottentomatoes.com/m/swelter_2014/"
"Virtuosity","Feature Film","Brett Leonard",5.5,106,"1995",22756,"1995-08-04","http://www.imdb.com/title/tt0114857/","0114857","Virtuosity",1995,"Action & Adventure","R","105","Rotten",33,"Spilled",32,"Denzel Washington","Kelly Lynch","Russell Crowe","Stephen Spinella","William Forsythe","Brett Leonard","Paramount Home Video","http://www.rottentomatoes.com/m/virtuosity/"
"Gotcha!","Feature Film","Jeff Kanew",6.1,101,"1985",5079,"1985-05-03","http://www.imdb.com/title/tt0089222/","0089222","Gotcha!",1985,"Action & Adventure","PG-13","97","Rotten",40,"Spilled",53,"Anthony Edwards","Linda Fiorentino","Nick Corri","Marie Dubrule","Alex Rocco","Jeff Kanew","Universal","http://www.rottentomatoes.com/m/gotcha/"
"Never Let Me Go","Feature Film","Mark Romanek",7.2,103,"2010",102914,"2010-09-03","http://www.imdb.com/title/tt1334260/","1334260","Never Let Me Go",2010,"Drama","R","104","Fresh",71,"Upright",71,"Andrew Garfield","Keira Knightley","Carey Mulligan","Charlotte Rampling","Sally Hawkins","Mark Romanek","Fox Searchlight Pictures","http://www.rottentomatoes.com/m/never_let_me_go_2010/"
"Fido","Feature Film","Andrew Currie",6.8,93,"2006",24317,"2006-09-07","http://www.imdb.com/title/tt0457572/","0457572","Fido",2007,"Horror","R","91","Fresh",72,"Upright",72,"Carrie-Anne Moss","Billy Connolly","Dylan Baker","K'Sun Ray","Henry Czerny","Andrew Currie","Roadside Attractions/Samuel Goldwyn","http://www.rottentomatoes.com/m/fido/"
"Smiley","Feature Film","Michael J. Gallagher",3.5,95,"2012",6789,"2012-10-12","http://www.imdb.com/title/tt2025667/","2025667","Smiley",2012,"Horror","R","90","Rotten",18,"Spilled",31,"Caitlin Gerard","Melanie Papalia","Shane Dawson","Andrew James Allen","Roger Bart","Michael Gallagher","Fever Productions","http://www.rottentomatoes.com/m/smiley_2012/"
