"title","title_type","directors","imdb_rating","runtime","year","num_votes","rel_date","url","id","title_rt","year_rt","genre_rt","mpaa_rating","runtime_rt","critics_rating","critics_score","audience_rating","audience_score","actor1","actor2","actor3","actor4","actor5","director_rt","studio","link"
"Guyver","Feature Film","Screaming Mad George, Steve Wang",4.8,88,"1991",3317,"1991-03-18","http://www.imdb.com/title/tt0101988/","0101988","The Guyver",1991,"Action & Adventure","PG-13","92",NA,-1,"Spilled",36,"Jack Armstrong","David Hayter","Mark Hamill","Christopher Michael","Vivian Wu","Steve Wang","Imperial Entertainment","http://www.rottentomatoes.com/m/guyver/"
"The Forgotten","Feature Film","Joseph Ruben",5.8,91,"2004",55966,"2004-09-24","http://www.imdb.com/title/tt0356618/","0356618","The Forgotten",2004,"Drama","PG-13","91","Rotten",31,"Spilled",36,"Julianne Moore","Dominic West","Gary Sinise","Alfre Woodard","Linus Roache","Joseph Ruben","Sony Pictures","http://www.rottentomatoes.com/m/forgotten/"
"The Brown Bunny","Feature Film","Vincent Gallo",5,93,"2003",11067,"2003-05-21","http://www.imdb.com/title/tt0330099/","0330099","The Brown Bunny",2004,"Art House & International","G","93","Rotten",43,"Spilled",45,"Vincent Gallo","Chloe Sevigny","Cheryl Tiegs","Elizabeth Blake","Anna Vereschi","Vincent Gallo","Wellspring Media","http://www.rottentomatoes.com/m/the_brown_bunny/"
"That'll Be the Day","Feature Film","Claude Whatham",6.6,91,"1973",722,"1973-04-12","http://www.imdb.com/title/tt0070788/","0070788","That'll Be the Day",1973,"Drama","PG","90",NA,-1,"Spilled",57,"David Essex","Ringo Starr","Rosemary Leach","James Booth","Billy Fury","Claude Whatham","Anglo-EMI Productions Ltd.","http://www.rottentomatoes.com/m/thatll_be_the_day/"
"Dona Flor and Her Two Husbands","Feature Film","Bruno Barreto",7.1,110,"1976",1611,"1976-11-22","http://www.imdb.com/title/tt0077452/","0077452","Dona Flor e Seus Dois Maridos (Dona Flor and Her Two Husbands)",1976,"Drama","R","115",NA,-1,"Spilled",59,"Dolores Del Rio","Esther Fernandez","Carlos Navarro","Julio Villareal","Jose Elias Moreno","Bruno Barreto","Vanguard","http://www.rottentomatoes.com/m/dona-flor-e-seus-dois-maridos-dona-flor-and-her-two-husbands/"
"I'm Reed Fish","Feature Film","Zackary Adler",5.8,93,"2006",3829,"2006-04-25","http://www.imdb.com/title/tt0464061/","0464061","I'm Reed Fish",2007,"Drama","PG","93","Rotten",55,"Spilled",41,"Jay Baruchel","Alexis Bledel","Schuyler Fisk","Victor Rasuk","D.J. Qualls","Zackary Adler","Red Envelope Entertainment","http://www.rottentomatoes.com/m/reed_fish/"
"Strangeland","Feature Film","John Pieplow",4.9,85,"1998",5459,"1998-10-02","http://www.imdb.com/title/tt0124102/","0124102","Strangeland",1998,"Mystery & Suspense","R","86","Rotten",6,"Upright",63,"Dee Snider","Kevin Gage","Elizabeth Pena","Brett Harrelson","Robert Englund","John Pipelow","The Shooting Gallery","http://www.rottentomatoes.com/m/strangeland/"
"Redacted","Feature Film","Brian De Palma",6.2,90,"2007",8608,"2007-08-31","http://www.imdb.com/title/tt0937237/","0937237","Redacted",2007,"Documentary","R","90","Rotten",45,"Spilled",45,"Izzy Diaz","Daniel Stewart Sherman","Patrick Carroll","Rob Devaney","Francois Caillaud","Brian DePalma","Magnolia Pictures","http://www.rottentomatoes.com/m/redacted/"
"Sleepaway Camp III: Teenage Wasteland","Feature Film","Michael A. Simpson",5.2,80,"1989",4640,"1989-11-15","http://www.imdb.com/title/tt0096119/","0096119","Sleepaway Camp III: Teenage Wasteland",1989,"Horror","R","80","Rotten",0,"Spilled",30,"Pamela Springsteen","Tracy Griffith","Tracey Griffith","Michael J. Pollard","Mark Oliver","Michael A. Simpson","MGM","http://www.rottentomatoes.com/m/sleepaway_camp_iii_teenage_wasteland/"
"Little Gloria... Happy at Last","TV Movie","Waris Hussein",8.2,180,"1982",532,"1982-10-24","http://www.imdb.com/title/tt0084258/","0084258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hobo with a Shotgun","Feature Film","Jason Eisener",6.1,86,"2011",36148,"2011-01-21","http://www.imdb.com/title/tt1640459/","1640459","Hobo With a Shotgun",2011,"Action & Adventure","R","86","Fresh",65,"Spilled",57,"Rutger Hauer","Gregory Smith","Molly Dunsworth","Brian Downey","Nick Bateman (II)","Jason Eisener","Magnolia Releasing","http://www.rottentomatoes.com/m/hobo_with_a_shotgun/"
"Mantle","Documentary","George Roy",8.1,60,"2005",156,"2005-07-13","http://www.imdb.com/title/tt0470857/","0470857","Mantle",2005,"Documentary","Unrated","58",NA,-1,"Upright",71,"Mickey Mantle","Bob Costas","George Steinbrenner","Ralph Houk","Liev Schreiber","George Roy","Mantle","http://www.rottentomatoes.com/m/mantle_2005/"
"Resident Evil: Extinction","Feature Film","Russell Mulcahy",6.3,94,"2007",141991,"2007-09-20","http://www.imdb.com/title/tt0432021/","0432021","Resident Evil: Extinction",2007,"Action & Adventure","R","94","Rotten",22,"Spilled",58,"Milla Jovovich","Oded Fehr","Ali Larter","Iain Glen","Mike Epps","Russell Mulcahy","Sony Pictures","http://www.rottentomatoes.com/m/resident_evil_extinction/"
"Veronica Mars","Feature Film","Rob Thomas",6.8,107,"2014",39070,"2014-03-08","http://www.imdb.com/title/tt2771372/","2771372","Veronica Mars",2014,"Drama","PG-13","108","Certified Fresh",78,"Upright",79,"Kristen Bell","Ryan Hansen","Jason Dohring","Chris Lowell","Tina Majorino","Rob Thomas (II)","Warner Bros.","http://www.rottentomatoes.com/m/veronica_mars/"
"Passchendaele","Feature Film","Paul Gross",6.6,114,"2008",6721,"2008-09-04","http://www.imdb.com/title/tt1092082/","1092082","Passchendaele",2008,"Drama","Unrated","113","Rotten",36,"Spilled",57,"Paul Gross","Caroline Dhavernas","Joe Dinicol","Meredith Bailey","Gil Bellows","Paul Gross","Alliance Atlantis","http://www.rottentomatoes.com/m/1218219-passchendaele/"
"The Slugger's Wife","Feature Film","Hal Ashby",4.3,105,"1985",827,"1985-03-29","http://www.imdb.com/title/tt0090036/","0090036","The Slugger's Wife",1985,"Drama","PG-13","103","Rotten",0,"Spilled",19,"Rebecca De Mornay","Michael O'Keefe","Martin Ritt","Randy Quaid","Lisa Langlois","Hal Ashby","Columbia Pictures","http://www.rottentomatoes.com/m/sluggers_wife/"
"The Chosen","Feature Film","Jeremy Paul Kagan",7.1,108,"1981",1463,"1981-08","http://www.imdb.com/title/tt0082175/","0082175","The Chosen",1981,"Drama","PG","108","Fresh",82,"Upright",80,"Robby Benson","Barry Miller","Maximilian Schell","Rod Steiger","Hildy Brooks","Jeremy Kagan","Westchester Films","http://www.rottentomatoes.com/m/1004110-chosen/"
